date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2021-06-16 12:30:00,258.45,258.68,258.03,258.34,569066.0,-0.0619,259.0914,43.3589,259.0914,257.7177,260.4651
2021-06-16 12:45:00,258.36,258.7169,258.335,258.55,375052.0,-0.0077,259.0904,45.8039,259.0904,257.7152,260.4657
2021-06-16 13:00:00,258.56,258.94,258.41,258.94,291156.0,0.209,259.1174,50.0213,259.1174,257.7767,260.4582
2021-06-16 13:15:00,258.95,259.12,258.85,259.07,335700.0,0.2981,259.1559,51.3497,259.1559,257.8681,260.4437
2021-06-16 13:30:00,259.08,259.09,258.56,258.68,359796.0,0.1161,259.1709,47.3735,259.1709,257.9129,260.4289
2021-06-16 13:45:00,258.665,259.07,258.6324,258.74,326969.0,0.0928,259.1829,48.0252,259.1829,257.9464,260.4194
2021-06-16 14:00:00,258.73,258.76,258.38,258.516,390534.0,0.0449,259.1887,45.7963,259.1887,257.9659,260.4115
2021-06-16 14:15:00,258.52,258.52,254.98,255.51,2371335.0,-1.2292,259.0297,27.6615,259.0297,257.017,261.0424
2021-06-16 14:30:00,255.48,256.4141,254.75,256.32,1202143.0,-1.1492,258.8807,34.9661,258.8807,256.5535,261.208
2021-06-16 14:45:00,256.31,256.63,254.615,254.615,1483256.0,-1.839,258.6422,28.5732,258.6422,255.6796,261.6048
2021-06-16 15:00:00,254.61,256.63,254.42,256.595,1294600.0,-1.3286,258.4695,41.6207,258.4695,255.4529,261.486
2021-06-16 15:15:00,256.6,257.8517,256.4096,257.78,967669.0,-1.0726,258.3297,47.6456,258.3297,255.461,261.1985
2021-06-16 15:30:00,257.77,258.48,257.58,258.06,1036061.0,-0.8066,258.2248,48.9559,258.2248,255.4805,260.9691
2021-06-16 15:45:00,258.06,258.48,257.74,257.74,967341.0,-0.6591,258.1393,47.525,258.1393,255.4469,260.8317
2021-06-16 16:00:00,257.73,257.83,257.16,257.51,1832296.0,-0.828,258.0318,46.4968,258.0318,255.4204,260.6432
2021-06-16 16:15:00,257.38,257.5,257.19,257.2,798393.0,-1.0008,257.9018,45.1122,257.9018,255.3988,260.4048
2021-06-16 16:30:00,257.24,257.39,257.23,257.38,19943.0,-0.817,257.7958,46.0934,257.7958,255.3951,260.1965
2021-06-16 16:45:00,257.24,257.24,257.0,257.0,6683.0,-0.8182,257.6898,44.3323,257.6898,255.3457,260.0339
2021-06-16 17:00:00,256.99,257.14,256.62,256.67,5029.0,-0.8192,257.5838,42.8362,257.5838,255.2567,259.9109
2021-06-16 17:15:00,256.74,256.85,256.7,256.7,1172.0,-0.681,257.4958,43.0202,257.4958,255.1748,259.8168
2021-06-16 17:30:00,256.85,256.85,256.75,256.75,1466.0,-0.6155,257.4163,43.3402,257.4163,255.1075,259.7251
2021-06-16 17:45:00,256.75,256.85,256.75,256.85,674.0,-0.6575,257.3313,44.0022,257.3313,255.071,259.5916
2021-06-16 18:00:00,256.73,256.85,256.7,256.85,4344.0,-0.8071,257.2268,44.0022,257.2268,255.0835,259.3701
2021-06-16 18:15:00,256.9,256.9,256.5,256.5,3794.0,-0.992,257.0983,42.0947,257.0983,255.1098,259.0868
2021-06-16 18:30:00,256.5,256.75,256.35,256.69,6437.0,-0.7693,256.9988,43.4944,256.9988,255.1421,258.8555
2021-06-16 18:45:00,256.5,256.67,256.5,256.51,2470.0,-0.8619,256.8873,42.4707,256.8873,255.2023,258.5723
2021-06-16 19:00:00,256.5,256.5,256.21,256.23,5047.0,-0.8843,256.773,40.8945,256.773,255.2424,258.3036
2021-06-16 19:15:00,256.24,256.3,255.72,256.0,12629.0,0.1918,256.7975,39.6231,256.7975,255.3343,258.2607
2021-06-16 19:30:00,256.2,256.28,256.125,256.125,676.0,-0.0761,256.7878,40.6782,256.7878,255.3095,258.266
2021-06-16 19:45:00,256.0,256.0,255.7,255.78,3352.0,0.4576,256.846,38.7127,256.846,255.6499,258.0421
2021-06-16 20:00:00,255.8,255.9,255.555,255.555,10073.0,-0.4053,256.794,37.4698,256.794,255.4747,258.1133
2021-06-17 04:15:00,255.0,256.0,255.0,255.63,2522.0,-0.834,256.6865,38.1664,256.6865,255.3557,258.0173
2021-06-17 04:45:00,255.68,255.68,255.32,255.32,1319.0,-1.0618,256.5495,36.4021,256.5495,255.2487,257.8503
2021-06-17 05:15:00,255.21,255.4,255.21,255.4,1342.0,-0.9079,256.4325,37.1908,256.4325,255.1605,257.7045
2021-06-17 05:30:00,255.52,255.52,255.52,255.52,149.0,-0.7728,256.333,38.3971,256.333,255.1031,257.5629
2021-06-17 05:45:00,255.5,255.5,255.41,255.41,780.0,-0.696,256.2435,37.6985,256.2435,255.0184,257.4686
2021-06-17 06:15:00,255.84,256.2,255.84,256.2,794.0,-0.4585,256.1845,45.2316,256.1845,255.0759,257.2931
2021-06-17 06:30:00,256.0,256.2,256.0,256.2,600.0,-0.3113,256.1445,45.2316,256.1445,255.1007,257.1883
2021-06-17 06:45:00,256.08,256.08,255.85,255.85,1118.0,-0.3195,256.1035,42.6972,256.1035,255.0813,257.1257
2021-06-17 07:15:00,255.8,256.7,255.8,256.7,10619.0,0.0,256.1035,49.8768,256.1035,255.0813,257.1257
2021-06-17 07:30:00,256.62,256.62,256.45,256.48,4198.0,-0.1052,256.09,48.2304,256.09,255.0955,257.0845
2021-06-17 07:45:00,256.59,256.59,256.5,256.59,3721.0,-0.1012,256.077,49.1145,256.077,255.1164,257.0376
2021-06-17 08:00:00,256.44,256.52,255.89,255.89,8383.0,-0.3738,256.029,44.0731,256.029,255.134,256.924
2021-06-17 08:15:00,256.5101,256.737,255.75,256.0,18034.0,-0.1949,256.004,45.0068,256.004,255.1355,256.8725
2021-06-17 08:30:00,255.8,255.8,255.47,255.61,13945.0,-0.4207,255.95,42.367,255.95,255.1256,256.7744
2021-06-17 08:45:00,255.86,256.13,255.86,256.0,8499.0,-0.1988,255.9245,45.7184,255.9245,255.1404,256.7086
2021-06-17 09:00:00,256.0,256.23,255.93,256.0,8027.0,-0.0898,255.913,45.7184,255.913,255.1405,256.6855
2021-06-17 09:15:00,256.19,256.78,256.15,256.4223,15107.0,0.165,255.9341,49.2586,255.9341,255.1308,256.7374
2021-06-17 09:30:00,256.39,256.8,255.64,256.11,25853.0,-0.0059,255.9334,46.8786,255.9334,255.1307,256.736
2021-06-17 09:45:00,256.065,257.5982,256.01,257.1838,1606710.0,0.5488,256.0036,54.7853,256.0036,255.0379,256.9692
2021-06-17 10:00:00,257.2,257.97,257.06,257.805,737849.0,0.8804,256.1161,58.5429,256.1161,254.8951,257.337
2021-06-17 10:15:00,257.82,258.13,257.52,257.83,953838.0,0.8606,256.2261,58.6884,256.2261,254.818,257.6341
2021-06-17 10:30:00,257.84,258.5,257.75,258.4,981462.0,1.2063,256.3801,61.8966,256.3801,254.7464,258.0137
2021-06-17 10:45:00,258.43,259.15,258.43,259.09,924538.0,1.4448,256.5646,65.3277,256.5646,254.6128,258.5163
2021-06-17 11:00:00,259.09,259.17,258.14,258.27,910251.0,1.0762,256.7021,58.7139,256.7021,254.6779,258.7262
2021-06-17 11:15:00,258.3,258.87,258.23,258.87,644814.0,1.3547,256.8751,61.7004,256.8751,254.7341,259.016
2021-06-17 11:30:00,258.8462,260.14,258.74,260.03,1214966.0,1.4949,257.0666,66.615,257.0666,254.5493,259.5838
2021-06-17 11:45:00,260.03,260.48,259.89,260.36,1078551.0,1.6237,257.2746,67.8504,257.2746,254.414,260.1351
2021-06-17 12:00:00,260.36,260.62,260.25,260.51,703617.0,1.8214,257.5076,68.4097,257.5076,254.4006,260.6145
2021-06-17 12:15:00,260.52,260.6,260.0728,260.5,732422.0,1.4803,257.6976,68.3263,257.6976,254.3555,261.0396
2021-06-17 12:30:00,260.49,260.5,259.42,259.65,791777.0,1.236,257.8561,61.605,257.8561,254.4598,261.2523
2021-06-17 12:45:00,259.64,260.11,259.36,260.03,687588.0,1.3407,258.0281,63.3038,258.0281,254.558,261.4981
2021-06-17 13:00:00,260.03,260.38,259.7485,260.22,490649.0,1.6921,258.2446,64.1388,258.2446,254.7949,261.6942
2021-06-17 13:15:00,260.23,260.6,260.19,260.325,518595.0,1.6895,258.4608,64.6074,258.4608,255.0592,261.8624
2021-06-17 13:30:00,260.33,260.91,260.3252,260.9,596634.0,2.0696,258.7253,67.0861,258.7253,255.4305,262.0201
2021-06-17 13:45:00,260.91,261.43,260.87,261.325,731843.0,2.0801,258.9916,68.7869,258.9916,255.7607,262.2224
2021-06-17 14:00:00,261.32,261.385,260.7,260.925,562410.0,1.9238,259.2378,65.4369,259.2378,256.2123,262.2633
2021-06-17 14:15:00,260.95,261.06,260.57,260.87,551516.0,1.7345,259.4602,64.9789,259.4602,256.6489,262.2715
2021-06-17 14:30:00,260.88,261.46,260.82,261.42,624061.0,2.0733,259.7257,67.3821,259.7257,257.2468,262.2045
2021-06-17 14:45:00,261.41,261.44,260.76,260.95,493231.0,1.4644,259.914,63.4646,259.914,257.6756,262.1524
2021-06-17 15:00:00,260.94,261.29,260.78,261.1,486957.0,1.2781,260.0788,64.1645,260.0788,258.0067,262.1508
2021-06-17 15:15:00,261.12,261.67,260.85,261.62,754464.0,1.47,260.2682,66.506,260.2682,258.3673,262.1692
2021-06-17 15:30:00,261.63,261.75,261.24,261.331,727293.0,1.1343,260.4148,64.0574,260.4148,258.6668,262.1628
2021-06-17 15:45:00,261.33,261.6,260.81,261.29,869116.0,0.8491,260.5248,63.7071,260.5248,258.8487,262.2009
2021-06-17 16:00:00,261.3,261.56,260.83,260.91,2173065.0,1.0222,260.6568,60.4806,260.6568,259.333,261.9806
2021-06-17 16:15:00,260.9,261.19,260.9,260.9,2151745.0,0.7842,260.7583,60.3959,260.7583,259.7169,261.7997
2021-06-17 16:30:00,261.08,261.08,260.76,260.8,10298.0,0.2961,260.7968,59.5182,260.7968,259.8104,261.7832
2021-06-17 16:45:00,260.8,261.07,260.78,261.07,63663.0,0.2727,260.8323,61.1239,260.8323,259.8604,261.8042
2021-06-17 17:00:00,261.0,261.04,261.0,261.0,2952.0,0.1881,260.8568,60.4693,260.8568,259.8939,261.8197
2021-06-17 17:15:00,261.0,261.04,261.0,261.04,1452.0,0.2073,260.8838,60.7223,260.8838,259.9323,261.8353
2021-06-17 17:30:00,261.04,261.04,261.04,261.04,162.0,0.5353,260.9533,60.7223,260.9533,260.1875,261.7191
2021-06-17 17:45:00,261.0,261.0,261.0,261.0,24482.0,0.373,261.0018,60.2947,261.0018,260.3638,261.6398
2021-06-17 18:00:00,261.08,261.08,260.9,260.9,819.0,0.2613,261.0358,59.1978,261.0358,260.5045,261.5671
2021-06-17 18:15:00,260.93,260.93,260.91,260.91,981.0,0.2247,261.0651,59.2758,261.0651,260.6397,261.4904
2021-06-17 18:30:00,261.02,261.09,261.02,261.09,1410.0,0.0728,261.0746,60.6991,261.0746,260.6559,261.4932
2021-06-17 18:45:00,261.175,261.18,261.0,261.18,1629.0,-0.0555,261.0673,61.409,261.0673,260.6614,261.4732
2021-06-17 19:00:00,261.01,261.35,261.01,261.35,806.0,0.1629,261.0886,62.747,261.0886,260.6704,261.5067
2021-06-17 19:15:00,261.01,261.01,261.01,261.01,155.0,0.0537,261.0956,58.4786,261.0956,260.6877,261.5034
2021-06-17 19:30:00,261.2,261.32,261.2,261.32,1200.0,-0.0383,261.0906,61.0233,261.0906,260.6965,261.4846
2021-06-17 19:45:00,261.3,261.33,261.07,261.33,1255.0,0.1456,261.1096,61.1042,261.1096,260.7079,261.5112
2021-06-17 20:00:00,261.15,261.1999,261.02,261.17,2045.0,0.0268,261.1131,59.0393,261.1131,260.7105,261.5156
2021-06-18 04:15:00,261.0,261.0,261.0,261.0,1730.0,-0.237,261.0821,56.8892,261.0821,260.7514,261.4127
